temperature_K,z
10.0,1.0900327688408092e+269
14.974874371859297,9.731891769758596e+267
19.949748743718594,4.138860576815972e+267
24.924623115577887,3.1540817331000323e+267
29.899497487437184,3.113404995823041e+267
34.87437185929648,3.4664664366123423e+267
39.849246231155774,4.079326418930301e+267
44.824120603015075,4.915003974768342e+267
49.79899497487437,5.967392043904041e+267
54.77386934673366,7.242423862731347e+267
59.74874371859296,8.751447181123159e+267
64.72361809045225,1.0508516659145545e+268
69.69849246231155,1.2529156061200156e+268
74.67336683417085,1.4829740797418823e+268
79.64824120603015,1.7427167630047382e+268
84.62311557788944,2.033866757055575e+268
89.59798994974874,2.3581694676127373e+268
94.57286432160804,2.7173857187782664e+268
99.54773869346732,3.1132873338510506e+268
104.52261306532662,3.5476542083907765e+268
109.49748743718592,4.02227231596476e+268
114.47236180904521,4.538932313983427e+268
119.44723618090451,5.0994285457965356e+268
124.42211055276381,5.7055583106933e+268
129.3969849246231,6.3591213189801026e+268
134.3718592964824,7.061919277495705e+268
139.3467336683417,7.815755568782614e+268
144.321608040201,8.622434998689717e+268
149.2964824120603,9.48376359480464e+268
154.27135678391957,1.0401548443233252e+269
159.24623115577887,1.1377597554737425e+269
164.22110552763817,1.241371975366397e+269
169.19597989949747,1.3511724584800405e+269
174.17085427135677,1.4673422234506867e+269
179.14572864321607,1.5900623463349813e+269
184.12060301507537,1.7195139548103185e+269
189.09547738693465,1.8558782231457548e+269
194.07035175879395,1.999336367813035e+269
199.04522613065325,2.1500696436340266e+269
204.02010050251255,2.308259340381153e+269
208.99497487437185,2.4740867797633905e+269
213.96984924623115,2.647733312742527e+269
218.94472361809042,2.829380317134275e+269
223.91959798994972,3.019209195456364e+269
228.89447236180902,3.2174013729918973e+269
233.86934673366832,3.424138296041474e+269
238.84422110552762,3.6396014303411957e+269
243.81909547738692,3.8639722596275153e+269
248.7939698492462,4.0974322843320953e+269
253.7688442211055,4.3401630203926156e+269
258.7437185929648,4.5923459981670236e+269
263.7185929648241,4.8541627614405147e+269
268.6934673366834,5.12579486651584e+269
273.6683417085427,5.407423881378692e+269
278.643216080402,5.699231384930961e+269
283.6180904522613,6.001398966285447e+269
288.5929648241206,6.314108224116403e+269
293.5678391959799,6.637540766060932e+269
298.54271356783914,6.97187820816672e+269
303.51758793969844,7.317302174382372e+269
308.49246231155774,7.673994296086492e+269
313.46733668341705,8.042136211652729e+269
318.44221105527635,8.421909566047757e+269
323.41708542713565,8.813496010459715e+269
328.39195979899495,9.217077201955062e+269
333.36683417085425,9.63283480316146e+269
338.34170854271355,1.0060950481975237e+270
343.31658291457285,1.0501605911291625e+270
348.29145728643215,1.0954982768756316e+270
353.26633165829145,1.1421262736537055e+270
358.24120603015075,1.190062750111419e+270
363.21608040201,1.2393258753088717e+270
368.1909547738693,1.2899338187007504e+270
373.1658291457286,1.3419047501204094e+270
378.1407035175879,1.3952568397654813e+270
383.1155778894472,1.4500082581849168e+270
388.0904522613065,1.5061771762674122e+270
393.0653266331658,1.5637817652311189e+270
398.0402010050251,1.6228401966146466e+270
403.0150753768844,1.6833706422692264e+270
407.9899497487437,1.7453912743520743e+270
412.964824120603,1.8089202653208185e+270
417.9396984924623,1.8739757879290325e+270
422.9145728643216,1.9405760152227815e+270
427.88944723618084,2.0087391205381456e+270
432.86432160804014,2.0784832774997392e+270
437.83919597989944,2.149826660020118e+270
442.81407035175874,2.2227874423000774e+270
447.78894472361804,2.2973837988298493e+270
452.76381909547734,2.3736339043910744e+270
457.73869346733665,2.451555934059615e+270
462.71356783919595,2.5311680632091343e+270
467.68844221105525,2.612488467515401e+270
472.66331658291455,2.695535322961344e+270
477.63819095477385,2.780326805842761e+270
482.61306532663315,2.866881092774727e+270
487.5879396984924,2.955216360698621e+270
492.5628140703517,3.045350786889779e+270
497.537688442211,3.13730254896572e+270
502.5125628140703,3.2310898248949565e+270
507.4874371859296,3.32673079300633e+270
512.4623115577889,3.424243631998871e+270
517.4371859296482,3.523646520952133e+270
522.4120603015075,3.624957639336999e+270
527.3869346733668,3.728195167026969e+270
532.3618090452261,3.8333772843097826e+270
537.3366834170854,3.9405221718995214e+270
542.3115577889447,4.049648010949048e+270
547.286432160804,4.1607729830627844e+270
552.2613065326633,4.273915270309824e+270
557.2361809045226,4.389093055237376e+270
562.2110552763819,4.506324520884458e+270
567.1859296482412,4.625627850795854e+270
572.1608040201005,4.7470212290363475e+270
577.1356783919598,4.870522840205114e+270
582.1105527638191,4.996150869450381e+270
587.0854271356783,5.12392350248419e+270
592.0603015075376,5.253858925597435e+270
597.0351758793969,5.385975325674872e+270
602.0100502512562,5.520290890210385e+270
606.9849246231155,5.656823807322349e+270
611.9597989949748,5.79559226576899e+270
616.9346733668341,5.936614454963871e+270
621.9095477386934,6.079908564991442e+270
626.8844221105527,6.2254927866226e+270
631.859296482412,6.373385311330253e+270
636.8341708542713,6.523604331304915e+270
641.8090452261306,6.676168039470266e+270
646.7839195979899,6.8310946294987265e+270
651.7587939698492,6.988402295826907e+270
656.7336683417085,7.148109233671093e+270
661.7085427135678,7.310233639042628e+270
666.6834170854271,7.474793708763188e+270
671.6582914572864,7.641807640479996e+270
676.6331658291457,7.811293632680944e+270
681.608040201005,7.983269884709565e+270
686.5829145728643,8.157754596779885e+270
691.5577889447236,8.334765969991176e+270
696.5326633165829,8.514322206342543e+270
701.5075376884422,8.696441508747319e+270
706.4824120603015,8.881142081047334e+270
711.4572864321607,9.068442128027076e+270
716.43216080402,9.258359855427545e+270
721.4070351758793,9.45091346996001e+270
726.3819095477386,9.64612117931951e+270
731.3567839195979,9.84400119219827e+270
736.3316582914572,1.0044571718298777e+271
741.3065326633165,1.0247850968346704e+271
746.2814070351758,1.0453857154103704e+271
751.2562814070351,1.0662608488379772e+271
756.2311557788944,1.0874123185045607e+271
761.2060301507537,1.1088419459044615e+271
766.180904522613,1.1305515526404731e+271
771.1557788944723,1.1525429604249937e+271
776.1306532663316,1.1748179910811655e+271
781.1055276381909,1.1973784665439796e+271
786.0804020100502,1.220226208861361e+271
791.0552763819095,1.2433630401952267e+271
796.0301507537688,1.2667907828225268e+271
801.0050251256281,1.2905112591362442e+271
805.9798994974874,1.3145262916463913e+271
