temperature_K,internal_energy_J,constant_volume_heat_capacity_J/K
751.2562814070351,3.086799076226526e-20,4.149443289897634e-23
756.2311557788944,3.107441992092135e-20,4.1494268750319233e-23
761.2060301507537,3.1280848310635273e-20,4.149412358039044e-23
766.180904522613,3.1487276024887045e-20,4.149399701258865e-23
771.1557788944723,3.169370315528314e-20,4.1493888660401926e-23
776.1306532663316,3.1900129791457877e-20,4.1493798226512946e-23
781.1055276381909,3.21065560220595e-20,4.1493725393784244e-23
786.0804020100502,3.231298193356689e-20,4.149366977570425e-23
791.0552763819095,3.251940761078259e-20,4.149363108486591e-23
796.0301507537688,3.2725833137325855e-20,4.1493608964488825e-23
801.0050251256281,3.293225859444936e-20,4.1493603067703605e-23
805.9798994974874,3.31386840623211e-20,4.149361314674651e-23
810.9547738693467,3.334510961972855e-20,4.149363886465804e-23
815.929648241206,3.355153534348704e-20,4.14936798844787e-23
820.9045226130653,3.37579613090314e-20,4.1493735879160375e-23
825.8793969849246,3.396438758992291e-20,4.1493806561296396e-23
830.8542713567839,3.4170814258736765e-20,4.149389168312302e-23
835.8291457286432,3.437724138656906e-20,4.1493990877950707e-23
840.8040201005024,3.458366904234652e-20,4.1494103858369774e-23
845.7788944723617,3.4790097294305605e-20,4.1494230376619114e-23
850.753768844221,3.499652620890785e-20,4.149437010564874e-23
855.7286432160803,3.5202955851135676e-20,4.149452279769453e-23
860.7035175879396,3.540938628498542e-20,4.1494688135619774e-23
865.6783919597989,3.5615817572284053e-20,4.1494865841927307e-23
870.6532663316582,3.582224977426691e-20,4.14950556589435e-23
875.6281407035175,3.6028682950197156e-20,4.1495257279439645e-23
880.6030150753768,3.623511715825329e-20,4.149547049529494e-23
885.5778894472361,3.644155245562773e-20,4.1495695038924733e-23
890.5527638190954,3.664798889783656e-20,4.149593058327829e-23
895.5276381909547,3.685442653881814e-20,4.1496176910324547e-23
900.502512562814,3.706086543191919e-20,4.149643377230013e-23
905.4773869346733,3.726730562861289e-20,4.149670089170939e-23
910.4522613065326,3.747374717948494e-20,4.1496978050518236e-23
915.4271356783919,3.7680190133839145e-20,4.1497264961320754e-23
920.4020100502512,3.7886634539401595e-20,4.149756140608512e-23
925.3768844221105,3.809308044330673e-20,4.149786716677876e-23
930.3517587939698,3.829952789111126e-20,4.149818198572805e-23
935.3266331658291,3.850597692738583e-20,4.1498505605257106e-23
940.3015075376884,3.871242759512336e-20,4.149883780733335e-23
945.2763819095477,3.8918879936725125e-20,4.149917837392496e-23
950.251256281407,3.9125333993014675e-20,4.1499527096909633e-23
955.2261306532663,3.9331789804322523e-20,4.1499883748346033e-23
960.2010050251256,3.953824740920425e-20,4.1500248040826733e-23
965.1758793969848,3.974470684513074e-20,4.150061984551379e-23
970.1507537688441,3.995116814937568e-20,4.150099895428414e-23
975.1256281407034,4.01576313573392e-20,4.1501385079734876e-23
980.1005025125627,4.036409650343535e-20,4.1501778053384736e-23
985.075376884422,4.057056362138795e-20,4.1502177686932694e-23
990.0502512562813,4.0777032743737495e-20,4.1502583782167455e-23
995.0251256281406,4.098350390223565e-20,3.107539551338928e-23
1000.0,4.10862251212074e-20,2.064800260139248e-23
