temp,k,epsilon_repulsive,batch,Rg,Re,PE,valid
0.46,80.2,1.62,1,1.45663996392174,1.7472316392881626,-9.143622696487153,True
0.46,80.2,1.62,2,1.4647457391949774,2.510577696712258,-9.747579769634969,True
0.46,80.2,2.0,0,1.5824162837267266,3.359836741698319,-4.960547767701479,True
0.46,80.2,2.0,1,1.536025274343808,1.9989517802969272,-8.758956288493549,True
0.46,80.2,2.0,2,1.4567214416552272,2.0864370198390425,-9.302904279172074,True
0.46,100.0,0.1,0,1.7234999028814022,4.100038787358343,-6.7684452641560675,True
0.46,100.0,0.1,1,1.4120544395782368,2.7673858916327276,-9.807862235778659,True
0.46,100.0,0.1,2,1.5395656002070428,3.14223848958933,-6.404118721022976,True
0.46,100.0,0.48,0,1.5298804551928498,1.8442380855160576,-9.328585360093406,True
0.46,100.0,0.48,1,1.8229806420872519,4.905998643898281,-5.6345735960248415,True
0.46,100.0,0.48,2,1.5575725200313773,3.360760536877783,-6.189748546354195,True
0.46,100.0,0.86,0,1.6962439917459653,2.1655457532989457,-4.564853183898243,True
0.46,100.0,0.86,1,2.382046339079211,6.3749358261133136,-3.427721517577603,True
0.46,100.0,0.86,2,1.8035441815661122,4.927462133294541,-6.03629928753179,True
0.46,100.0,1.24,0,1.4527165793527954,1.79212868277175,-8.827666693541389,True
0.46,100.0,1.24,1,1.7978437567874286,5.046085270915607,-4.987774056437722,True
0.46,100.0,1.24,2,1.5177150324429982,2.3507768580912694,-7.278150907682832,True
0.46,100.0,1.62,0,1.745193193405556,4.29445455389234,-8.22856623957964,True
0.46,100.0,1.62,1,1.4702799349132654,2.6424172353418838,-9.665347353216868,True
0.46,100.0,1.62,2,1.5444873378327484,1.8257781132631472,-7.963168905230019,True
0.46,100.0,2.0,0,1.6561986166393143,3.262226430137473,-5.571781469109863,True
0.46,100.0,2.0,1,1.6474326407974933,3.9325983653333982,-6.188066000452051,True
0.46,100.0,2.0,2,1.5909309049663065,2.9414529725357994,-7.822784393059648,True
0.64,1.0,0.1,0,3.9867839188749654,9.108756461509941,7.744217381070736,True
0.64,1.0,0.1,1,5.058433973792359,10.549528636518174,10.752918907280172,True
0.64,1.0,0.1,2,4.702279038168072,11.92400234227265,10.565666424653815,True
0.64,1.0,0.48,0,3.7451776711558877,10.77305416657056,8.988499599889105,True
